Page NO,Category,Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL,Material,url,Description,Alloy Composition,Base Metal Price (% relative),Brinell Hardness,Compressive (crushing) Strength (MPa),Curie Temperature (°C),Density (g/cm³),Dielectric Constant (relative Permittivity) At 1Hz,Dielectric Constant (relative Permittivity) At 1Mhz,Dielectric Strength (breakdown Potential) (kV/mm),"Elastic (Young's, Tensile) Modulus (GPa)",Electrical Conductivity: Equal Volume (% IACS),Electrical Conductivity: Equal Weight (specific) (% IACS),Electrical Dissipation At 1Hz,Electrical Dissipation At 1Mhz,Electrical Resistivity Order Of Magnitude (10),Elongation At Break (%),Embodied Carbon (kg CO₂),Embodied Energy (MJ/kg),Embodied Water (L/kg),Fatigue Strength (MPa),Flexural Modulus (GPa),Flexural Strength (MPa),Follow-up Questions,Fracture Toughness (MPa·m),Further Reading,Glass Transition Temperature (°C),Heat Deflection Temperature At 1.82Mpa (264Psi) (°C),Impact Strength: Notched Izod (J/m),Impact Strength: V-notched Charpy (J),Knoop Hardness,Latent Heat Of Fusion (J/g),Light Transmission Range (µm),Limiting Oxygen Index (loi) (%),Maximum Temperature: Autoignition (°C),Maximum Temperature: Corrosion (°C),Maximum Temperature: Decomposition (°C),Maximum Temperature: Mechanical (°C),Maximum Thermal Shock (°C),Melting Completion (liquidus) (°C),Melting Onset (solidus) (°C),Poisson's Ratio,Pren (pitting Resistance),Reduction In Area (%),Refractive Index,Resilience: Ultimate (unit Rupture Work) (MJ/m³),Resilience: Unit (modulus Of Resilience) (kJ/m³),Rockwell B Hardness,Rockwell C Hardness,Rockwell M Hardness,Shear Modulus (GPa),Shear Strength (MPa),Solidification (pattern Maker's) Shrinkage (%),Specific Heat Capacity (J/kg·K),Stiffness To Weight: Axial (points),Stiffness To Weight: Bending (points),Strength To Weight: Axial (points),Strength To Weight: Bending (points),Tensile Strength: Ultimate (uts) (MPa),Tensile Strength: Yield (proof) (MPa),Thermal Conductivity (W/m·K),Thermal Diffusivity (mm²/s),Thermal Expansion (µm/m·K),Thermal Shock Resistance (points),Vicat Softening Temperature (°C),Water Absorption After 24 Hours (%),Water Absorption At Saturation (%)
Category: polymer Page No: 1,polymer,Hyosung Advanced Materials Alkex® AF 1000 3340 Dtex Aramid Yarn,"Other Engineering Material, Composite Fibers, Polymer, Thermoset, Aramid","ALKEX® aramid yarn is a high-performance super fiber that has strength that is five times that of steel as well as fire-retardant properties. Aramid Yarn is used for bulletproofing, automobile hoses, belt and tire reinforcement, optical cable and rope reinforcement, civil engineering and construction, and reinforcement of composite materials., Information provided by Hyosung Advanced Materials.",N/A,,,N/A,N/A,"[{'Elongation at Break': {'Metric': '4.2 %', 'English': '4.2 %', 'Comments': None}}]",N/A,N/A,N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=88759016fb804c4699841af98a47506c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,SPHERE ONE EXTENDOSPHERES™ PM 6550 Hollow Plastic Spheres,"Other Engineering Material, Additive/Filler for Polymer, Polymer","PM 6550 PM 6550 is an extremely light and versatile hollow sphere. Its plastic composition results in a very low density product. Only a very small amount of this hollow sphere is needed to provide substantial volume filling in formulations. PM 6550 has excellent flexibility, and the walls of the hollow sphere can survive a variety of stress environments. PM 6550 offers good resistance to solvents. The oleophilic surface permits easy dispersion in organic fluids and resins, but also provides good wet-out in latex systems., Applications: PM 6550 can be used to cover the whole range of applications where Sphere One hollow spheres would be incorporated. Plastic hollow spheres have found utility in such wide ranging applications as emulsion explosives, auto body putties, sealants and epoxy syntactic foams., Information provided by Sphere One Inc.",N/A,,,"[{'Bulk Density': {'Metric': '0.0500g/cc', 'English': '0.00181lb/in³', 'Comments': None}}]",N/A,N/A,N/A,"[{'Maximum Service Temperature, Air': {'Metric': '140°C', 'English': '284°F', 'Comments': 'Deformation temp'}}]",N/A,N/A,[{'ColorOff White': {'Descriptive Properties': 'Physical FormFree-Flowing Powder'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a6848195ac1943cd9d8483308d6cf5f8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,GrafTech P2 PET Film,"Carbon, Graphite, Polymer, Film",Optional coating for eGRAF® SPREADERSHIELD™ graphite products. Structure:  Plastic 0.0014mm - Adhesive 0.008mm - Graphite,N/A,,,N/A,N/A,N/A,"[{'Dielectric Breakdown': {'Metric': '200V', 'English': '200V', 'Comments': None}}]","[{'Thermal Conductivity': {'Metric': '0.160W/m-K', 'English': '1.11BTU-in/hr-ft²-°F', 'Comments': 'Through Thickness'}}]",N/A,N/A,[{'Thermal Contact Impedance - Per Side (°C·cm²/W)0.32ASTM-D5470 Modified (at 110kPa/16 psi/1.1 bar)': {'Descriptive Properties': None}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=46cd1ba0759742a1892923d9d03723a7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,ESK Ceramics PolyCeram® TRIBO180 Polymer matrix composite,Polymer,"Information provided by ESK Ceramics, now 3M Technical Ceramics.",N/A,,,"[{'Density': {'Metric': '1.53g/cc', 'English': '0.0553lb/in³', 'Comments': 'ISO 1183'}}]",N/A,"[{'Ball Indentation Hardness': {'Metric': '>=208MPa', 'English': '>=30200psi', 'Comments': 'DIN 53 456'}}]",N/A,"[{'CTE, linear, Parallel to Flow': {'Metric': '18.1µm/m-°C@Temperature -30.0 - 140 °C', 'English': '10.1µin/in-°F@Temperature -22.0 - 284 °F', 'Comments': 'DIN ISO 11359-2'}}]",N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=506ebba5af884ca090c204edc891d053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,Hyosung Advanced Materials Alkex® AF 1000 1100 Dtex Aramid Yarn,"Other Engineering Material, Composite Fibers, Polymer, Thermoset, Aramid","ALKEX® aramid yarn is a high-performance super fiber that has strength that is five times that of steel as well as fire-retardant properties. Aramid Yarn is used for bulletproofing, automobile hoses, belt and tire reinforcement, optical cable and rope reinforcement, civil engineering and construction, and reinforcement of composite materials., Information provided by Hyosung Advanced Materials.",N/A,,,N/A,N/A,"[{'Elongation at Break': {'Metric': '3.5 %', 'English': '3.5 %', 'Comments': None}}]",N/A,N/A,N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6066b0e052bc4fabb47f9f46d1649dfb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,Hyosung Advanced Materials Alkex® AF 1000 440 Dtex Aramid Yarn,"Other Engineering Material, Composite Fibers, Polymer, Thermoset, Aramid","ALKEX® aramid yarn is a high-performance super fiber that has strength that is five times that of steel as well as fire-retardant properties. Aramid Yarn is used for bulletproofing, automobile hoses, belt and tire reinforcement, optical cable and rope reinforcement, civil engineering and construction, and reinforcement of composite materials., Information provided by Hyosung Advanced Materials.",N/A,,,N/A,N/A,"[{'Elongation at Break': {'Metric': '3.2 %', 'English': '3.2 %', 'Comments': None}}]",N/A,N/A,N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=5916e058cd1d4eb4800122641f6fa11e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,Hyosung Advanced Materials Alkex® AF 1000 220 Dtex Aramid Yarn,"Other Engineering Material, Composite Fibers, Polymer, Thermoset, Aramid","ALKEX® aramid yarn is a high-performance super fiber that has strength that is five times that of steel as well as fire-retardant properties. Aramid Yarn is used for bulletproofing, automobile hoses, belt and tire reinforcement, optical cable and rope reinforcement, civil engineering and construction, and reinforcement of composite materials., Information provided by Hyosung Advanced Materials.",N/A,,,N/A,N/A,"[{'Elongation at Break': {'Metric': '2.8 %', 'English': '2.8 %', 'Comments': None}}]",N/A,N/A,N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=285e5192a1a44b79a79efa3577c6efb6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,Goodfellow CVD Graphene Film on PET,"Carbon, Polymer, Film",State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 188 micron PET Film for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,"[{'Surface Resistivity per Square': {'Metric': '<=400ohm', 'English': '<=400ohm', 'Comments': None}}]",N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,"[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/VsMax 17,000 cm²/Vs'}}]",N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=885af42324354322bbb4487a599fc7b0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,"Hexcel® HiMax™ FAHM116 [AHM, 450, -45/+45] Aramid Hybrid Fabric","Polymer, Thermoset, Aramid",Information provided by Hexcel Corporation.,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[{'Fabric Weight463 g/m2': {'Descriptive Properties': 'Ply construction 45°12 ggGauge'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=e9d5c02d3b614b86b320463ac917f285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,Hyosung Advanced Materials Alkex® AF 2000 440 Dtex Aramid Yarn,"Other Engineering Material, Composite Fibers, Polymer, Thermoset, Aramid","ALKEX® aramid yarn is a high-performance super fiber that has strength that is five times that of steel as well as fire-retardant properties. Aramid Yarn is used for bulletproofing, automobile hoses, belt and tire reinforcement, optical cable and rope reinforcement, civil engineering and construction, and reinforcement of composite materials., Information provided by Hyosung Advanced Materials.",N/A,,,N/A,N/A,"[{'Elongation at Break': {'Metric': '3.5 %', 'English': '3.5 %', 'Comments': None}}]",N/A,N/A,N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=fdd0c8afdad24a3dbeaf9930bbda197e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
